key,name,shortName,mapFrom,mapTo,networkKey,networkName,networkShortName,familyKey,familyName,familyShortName,validationRegex,validationCaseSensitive
token.EVM.ETH.NPC.address,Non-Playable Coin,NPC,,,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.NPXS.address,NPXS,NPXS,crypto.NPXS.address,crypto.NPXS.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.NU.address,NU,NU,crypto.NU.address,crypto.NU.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.NXM.address,NXM,NXM,crypto.NXM.address,crypto.NXM.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.OCEAN.address,OCEAN,OCEAN,crypto.OCEAN.address,crypto.OCEAN.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.OGN.address,OGN,OGN,crypto.OGN.address,crypto.OGN.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.OMG.address,OMG,OMG,crypto.OMG.address,crypto.OMG.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.OMI.address,OMI,OMI,crypto.OMI.address,crypto.OMI.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.ORBS.address,ORBS,ORBS,crypto.ORBS.address,crypto.ORBS.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.ORN.address,ORN,ORN,crypto.ORN.address,crypto.ORN.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.OXT.address,OXT,OXT,crypto.OXT.address,crypto.OXT.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.OXY.address,OXY,OXY,crypto.OXY.version.ERC20.address,crypto.OXY.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.PAX.address,PAX,PAX,crypto.PAX.address,crypto.PAX.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.PAXG.address,PAXG,PAXG,crypto.PAXG.version.ERC20.address,crypto.PAXG.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.PERP.address,PERP,PERP,crypto.PERP.address,crypto.PERP.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.POL.address,Polygon,POL,,,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
